,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
37,AUDI A4,2.0TDI Advanced edition quattro S-T 140kW,2016,Cuenca,97000,2016-09-01,12,Gris,C,26900,46733.0,4726.0,1842.0,1427.0,2.82,480/965,2.075,Berlina,4.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción total permanente,Automática secuencial,7.0,140.0,,400.0,0.0,0.0,5.7,3.0,4.4,114.0,4000.0,Vendedor profesional,2020-11-03
38,AUDI A5,Coupé 3.0TDI S Line quattro S tronic 160kW,2017,Madrid,49000,2017-01-01,12,Negro,C,37990,57400.0,4673.0,1846.0,1371.0,2.764,465/0,2.105,Coupe,2.0,4.0,Diesel,2.967,6,Turbo de geometría variable,Tracción total permanente,Automática secuencial,7.0,160.0,,400.0,250.0,6.2,5.0,4.5,4.7,127.0,5800.0,Vendedor profesional,2020-11-04
39,AUDI Q3,1.4 TFSI CoD Sport edition S tronic,2017,Salamanca,72400,2017-11-01,12,Blanco,C,24900,35698.0,4388.0,1831.0,1590.0,2.603,460/1.365,2.005,Todo Terreno,5.0,5.0,Gasolina,1.395,4,Turbo,Tracción delantera,Automática secuencial,6.0,110.0,,250.0,204.0,8.9,7.1,5.1,6.2,143.0,6400.0,Vendedor profesional,2020-11-06
40,AUDI A3,Sportback 1.5 TFSI COD EVO S Line ed. S-T 110kW,2019,Barcelona,10953,2019-09-01,24,Gris,C,26000,34976.0,4313.0,1785.0,1426.0,2.637,380/1.220,1.8,Berlina,5.0,5.0,Gasolina,1.4980000000000002,4,Turbo,Tracción delantera,Automática secuencial,7.0,110.0,,250.0,220.0,8.2,6.2,4.3,5.0,114.0,5000.0,Vendedor profesional,2020-10-26
41,AUDI A4,Avant 2.0TDI Sport edition S tronic 140kW,2016,Vizcaya,98000,2016-11-01,12,Negro,C,27990,46875.0,4725.0,1842.0,1431.0,2.82,505/1.510,2.145,Stationwagon,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,140.0,,400.0,231.0,7.9,4.9,3.8,4.2,113.0,4000.0,Vendedor profesional,2020-11-07
42,AUDI Q2,35 TFSI Black line edition S tronic 110kW,2019,Guipúzcoa,14225,2019-06-01,24,Negro,C,27400,36010.0,4191.0,1794.0,1508.0,2.6010000000000004,405/1.050,1.765,Todo Terreno,5.0,5.0,Gasolina,1.495,4,Turbo,Tracción delantera,Automática secuencial,7.0,110.0,,250.0,212.0,8.4,7.1,3.8,5.5,122.0,5000.0,Vendedor profesional,2020-11-07
43,AUDI A4,2.0TDI Sport edition S tronic 140kW,2016,Toledo,72844,2016-12-01,12,Gris Plata,C,21240,44835.0,4726.0,1842.0,1427.0,2.82,480/965,2.075,Berlina,4.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,140.0,,400.0,237.0,7.7,4.8,3.7,4.1,111.0,4000.0,Vendedor profesional,2020-10-31
44,AUDI A4,Avant 35 TDI Advanced S tronic 120kW,2019,Vizcaya,7000,2019-08-01,24,Azul,ECO,43900,46026.0,4762.0,1847.0,1435.0,2.82,495/0,2.165,Stationwagon,5.0,5.0,Diesel,1.9680000000000002,4,Turbo,Tracción delantera,Automática secuencial,7.0,120.0,,380.0,223.0,8.5,4.3,3.6,3.9,100.0,5400.0,Vendedor profesional,2020-11-07
45,AUDI Q3,35 TFSI Advanced,2020,Barcelona,101,2020-01-01,24,Gris Plata,C,32000,40948.0,4484.0,1856.0,1616.0,2.68,530/1.525,1.985,Todo Terreno,5.0,5.0,Gasolina,1.495,4,Turbo,Tracción delantera,Manual,6.0,110.0,,250.0,211.0,9.6,6.6,4.9,6.1,132.0,6000.0,Vendedor profesional,2020-10-05
46,AUDI A3,Sportback 1.5 TFSI COD EVO S Line ed. S-T 110kW,2019,Barcelona,11464,2019-07-01,24,Gris,C,25000,34976.0,4313.0,1785.0,1426.0,2.637,380/1.220,1.8,Berlina,5.0,5.0,Gasolina,1.4980000000000002,4,Turbo,Tracción delantera,Automática secuencial,7.0,110.0,,250.0,220.0,8.2,6.2,4.3,5.0,114.0,5000.0,Vendedor profesional,2020-11-05
47,AUDI A3,35 TFSI Black line S tronic,2019,Córdoba,22128,2019-03-01,0,Gris / Plata,ECO,25000,36652.0,4495.0,1816.0,1425.0,2.636,425/0,1.87,Berlina,4.0,5.0,Gasolina,1.4980000000000002,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,110.0,,250.0,232.0,8.4,6.2,4.0,4.8,112.0,5000.0,Vendedor profesional,2020-11-06
48,AUDI A3,Sportback 30 g-tron Design S tronic 96kW,2019,Barcelona,8000,2019-07-01,58,Azul,ECO,26400,33651.0,4313.0,1785.0,1427.0,2.637,280/1.120,1.88,Berlina,5.0,5.0,Gasolina/gas,1.495,4,Turbo,Tracción delantera,Automática secuencial,7.0,96.0,,200.0,211.0,9.4,6.4,4.3,5.0,96.0,5000.0,Vendedor profesional,2020-11-06
49,AUDI A5,Sportback 40 TFSI Sport S tronic 140kW,2019,Barcelona,22935,2019-03-01,24,Negro,C,35900,50552.0,4733.0,1843.0,1386.0,2.824,480/0,2.105,Berlina,5.0,5.0,Gasolina,1.984,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,140.0,,320.0,240.0,7.5,7.7,5.0,5.9,135.0,5800.0,Vendedor profesional,2020-10-05
50,AUDI A4,Avant 2.0TDI Design ed. S-T 110kW,2016,Barcelona,84100,2016-06-01,24,Azul,C,22300,45260.0,4725.0,1842.0,1431.0,2.82,505/1.510,2.095,Stationwagon,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,110.0,,320.0,215.0,9.2,5.5,2.9,4.1,112.0,4000.0,Vendedor profesional,2020-10-26
51,AUDI A3,Sportback 1.0 TFSI Sport Edition S-T 85kW,2018,Alicante,7344,2018-04-01,24,Gris,C,23300,30868.0,4313.0,1785.0,1426.0,2.637,380/1.220,1.76,Berlina,5.0,5.0,Gasolina,999.0,3,Turbo,Tracción delantera,Automática secuencial,7.0,85.0,,200.0,206.0,9.9,5.6,4.2,4.7,107.0,5000.0,Vendedor profesional,2020-10-21
52,AUDI Q3,2.0TDI Sport edition 110kW(4.75),2015,Madrid,86600,2015-07-01,12,Blanco,C,20400,36724.0,4388.0,1831.0,1590.0,2.603,460/1.365,2.085,Todo Terreno,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Manual,6.0,110.0,,340.0,204.0,9.6,5.3,4.1,4.8,126.0,6400.0,Vendedor profesional,2020-11-06
53,AUDI A4,Avant 2.0TDI Sport edition 110kW,2016,Barcelona,117345,2016-06-01,12,Rojo,C,21900,41365.0,4725.0,1842.0,1431.0,2.82,505/1.510,2.095,Stationwagon,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Manual,6.0,110.0,,320.0,215.0,9.2,4.8,3.6,4.0,111.0,4000.0,Vendedor profesional,2020-10-05
54,AUDI A4,Avant 2.0TDI Sport edition 110kW,2016,Barcelona,84511,2016-03-01,24,Blanco,C,20700,41365.0,4725.0,1842.0,1431.0,2.82,505/1.510,2.095,Stationwagon,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Manual,6.0,110.0,,320.0,215.0,9.2,4.8,3.6,4.0,111.0,4000.0,Vendedor profesional,2020-11-07
55,AUDI A1,Sportback 30 TFSI Black line,2019,Córdoba,21791,2019-02-01,0,Verde,C,19600,26633.0,4030.0,1740.0,1410.0,2.469,335/920,1.655,Berlina,5.0,5.0,Gasolina,999.0,3,Turbo,Tracción delantera,Manual,6.0,85.0,,200.0,203.0,9.5,5.9,4.1,4.9,111.0,4000.0,Vendedor profesional,2020-11-06
56,AUDI A1,Sportback 30 TFSI S line S tronic,2020,Barcelona,10950,2020-01-01,24,Blanco,C,23700,27246.0,4030.0,1740.0,1410.0,2.469,335/920,1.68,Berlina,5.0,5.0,Gasolina,999.0,3,Turbo,Tracción delantera,Automática secuencial,7.0,85.0,,200.0,203.0,9.4,5.9,4.2,4.8,112.0,4000.0,Vendedor profesional,2020-10-26
57,AUDI Q2,1.6TDI Design edition 85kW,2017,Barcelona,28471,2017-06-01,24,Blanco Ibis,C,22400,29720.0,4191.0,1794.0,1508.0,2.6010000000000004,405/1.050,1.87,Todo Terreno,5.0,5.0,Diesel,1.598,4,Turbo,Tracción delantera,Manual,6.0,85.0,,250.0,197.0,10.3,5.0,4.3,4.6,118.0,5000.0,Vendedor profesional,2020-11-06
58,no link (0012),5.2 FSI V10 plus quattro S Tronic,2016,Pontevedra,15000,2016-01-01,12,Blanco,C,120000,223560.0,4426.0,1940.0,1240.0,2.65,112/126,1.895,Coupe,2.0,2.0,Gasolina,5.204,10,no link (0012),Tracción total permanente,Automática secuencial,7.0,449.0,,560.0,330.0,3.2,17.5,9.3,12.3,287.0,8300.0,Vendedor profesional,2020-11-06
59,AUDI A1,Sportback 25 TFSI Advanced,2019,Toledo,18500,2019-06-01,0,Rojo,C,16900,22935.0,4030.0,1740.0,1410.0,2.469,335/920,1.63,Berlina,5.0,5.0,Gasolina,999.0,3,Turbo,Tracción delantera,Manual,5.0,70.0,,175.0,191.0,10.8,5.8,3.9,4.6,110.0,4000.0,Vendedor profesional,2020-10-26
60,Turbo de geometría variable,Avant 1.9TDI 6vel.,2003,Vizcaya,315421,2003-09-01,12,Negro,,3490,31160.0,4544.0,1766.0,1428.0,2.65,0/0,2.01,Stationwagon,5.0,5.0,Diesel,1.896,4,Turbo de geometría variable,Tracción delantera,Manual,6.0,96.0,,310.0,203.0,10.2,7.6,4.7,5.7,0.0,7000.0,Vendedor profesional,2020-11-06
62,no link (0012),5.2 FSI V10 quattro S Tronic,2016,Valencia,19000,2016-01-01,12,Blanco Metalizado,C,126900,199677.0,4426.0,1940.0,1240.0,2.65,112/126,1.895,Coupe,2.0,2.0,Gasolina,5.204,10,no link (0012),Tracción total permanente,Automática secuencial,7.0,397.0,,540.0,323.0,3.5,16.7,8.4,11.4,272.0,8300.0,Vendedor profesional,2020-11-06
63,AUDI A3,S3 Sedán quattro S tronic,2019,Vizcaya,13000,2019-08-01,24,Negro,C,45900,54298.0,4466.0,1796.0,1392.0,2.6310000000000002,390/0,2.045,Berlina,4.0,5.0,Gasolina,1.984,4,Turbo,Tracción total permanente,Automática secuencial,7.0,221.0,,400.0,250.0,4.7,8.7,5.8,6.8,155.0,5500.0,Vendedor profesional,2020-10-23
64,AUDI Q5,2.0TDI CD quattro S Line Ed. S-T 190,2015,Pontevedra,93000,2015-05-01,12,Azul,C,25900,52636.0,4629.0,1898.0,1655.0,2.807,540/1.560,2.47,Todo Terreno,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Todo terreno tracción total permanente,Automática secuencial,7.0,140.0,,400.0,210.0,8.4,6.5,5.3,5.7,149.0,7500.0,Vendedor profesional,2020-11-07
65,AUDI Q5,2.0TDI quattro-ultra S tronic 140kW,2018,Madrid,66000,2018-06-01,12,Azul Metalizado,C,39500,50345.0,4663.0,1893.0,1659.0,2.819,550/1.550,2.44,Todo Terreno,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Todo terreno tracción total permanente,Automática secuencial,7.0,140.0,,400.0,218.0,7.9,5.3,4.7,4.9,129.0,7000.0,Vendedor profesional,2020-11-06
66,AUDI A6,Avant 2.0TDI 140kW,2018,Toledo,24400,2018-06-01,0,Plata,C,30700,47867.0,4943.0,1874.0,1461.0,2.912,565/1.680,2.32,Stationwagon,5.0,5.0,Diesel,1.9680000000000002,4,Turbo,Tracción delantera,Manual,6.0,140.0,,400.0,226.0,8.7,5.6,4.0,4.6,119.0,7300.0,Vendedor profesional,2020-11-04
67,AUDI A6,Avant 3.0TDI S line edition Q. S-T 200kW,2015,Madrid,199176,2015-07-01,0,Plata,C,22990,67530.0,4943.0,1874.0,1461.0,2.912,565/1.680,2.465,Stationwagon,5.0,5.0,Diesel,2.967,6,Turbo,Tracción total permanente,Automática secuencial,7.0,200.0,,580.0,250.0,5.7,6.0,4.8,5.3,138.0,7300.0,Vendedor profesional,2020-11-06
68,AUDI A3,2.0TDI Ambiente quattro S-T 184,2013,Cantabria,169000,2013-02-01,12,Gris Metalizado,B,18500,38212.0,4237.0,1777.0,1421.0,2.6010000000000004,325/1.060,1.955,Berlina,3.0,5.0,Diesel,1.9680000000000002,4,Turbo,Tracción total permanente,Automática secuencial,6.0,135.0,,380.0,230.0,6.8,5.6,4.3,4.8,125.0,5500.0,Vendedor profesional,2020-11-06
