AUDI A4;2.0TDI Advanced edition quattro S-T 140kW;2016;Cuenca;97.000 km;09/2016;12 meses;Gris;C;26.900 €;46.733 €;4.726 mm;1.842 mm;1.427 mm;2.820;480/965;2.075;Berlina;4;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción total permanente;Automática secuencial;7;140;190;400;-;0,00;5,70;3,00;4,40;114;40,00;Vendedor profesional;03/11/2020
AUDI A5;Coupé 3.0TDI S Line quattro S tronic 160kW;2017;Madrid;49.000 km;01/2017;12 meses;Negro;C;37.990 €;57.400 €;4.673 mm;1.846 mm;1.371 mm;2.764;465/0;2.105;Coupe;2;4 ;Diesel;2.967;6;Turbo de geometría variable;Tracción total permanente;Automática secuencial;7;160;218;400;250;6,20;5,00;4,50;4,70;127;58,00;Vendedor profesional;04/11/2020
AUDI Q3;1.4 TFSI CoD Sport edition S tronic;2017;Salamanca;72.400 km;11/2017;12 meses;Blanco;C;24.900 €;35.698 €;4.388 mm;1.831 mm;1.590 mm;2.603;460/1.365;2.005;Todo Terreno;5;5 ;Gasolina;1.395;4;Turbo;Tracción delantera;Automática secuencial;6;110;150;250;204;8,90;7,10;5,10;6,20;143;64,00;Vendedor profesional;06/11/2020
AUDI A3;Sportback 1.5 TFSI COD EVO S Line ed. S-T 110kW;2019;Barcelona;10.953 km;09/2019;24 meses;Gris;C;26.000 €;34.976 €;4.313 mm;1.785 mm;1.426 mm;2.637;380/1.220;1.800;Berlina;5;5 ;Gasolina;1.498;4;Turbo;Tracción delantera;Automática secuencial;7;110;150;250;220;8,20;6,20;4,30;5,00;114;50,00;Vendedor profesional;26/10/2020
AUDI A4;Avant 2.0TDI Sport edition S tronic 140kW;2016;Vizcaya;98.000 km;11/2016;12 meses;Negro;C;27.990 €;46.875 €;4.725 mm;1.842 mm;1.431 mm;2.820;505/1.510;2.145;Stationwagon;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;140;190;400;231;7,90;4,90;3,80;4,20;113;40,00;Vendedor profesional;07/11/2020
AUDI Q2;35 TFSI Black line edition S tronic 110kW;2019;Guipúzcoa;14.225 km;06/2019;24 meses;Negro;C;27.400 €;36.010 €;4.191 mm;1.794 mm;1.508 mm;2.601;405/1.050;1.765;Todo Terreno;5;5 ;Gasolina;1.495;4;Turbo;Tracción delantera;Automática secuencial;7;110;150;250;212;8,40;7,10;3,80;5,50;122;50,00;Vendedor profesional;07/11/2020
AUDI A4;2.0TDI Sport edition S tronic 140kW;2016;Toledo;72.844 km;12/2016;12 meses;Gris Plata;C;21.240 €;44.835 €;4.726 mm;1.842 mm;1.427 mm;2.820;480/965;2.075;Berlina;4;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;140;190;400;237;7,70;4,80;3,70;4,10;111;40,00;Vendedor profesional;31/10/2020
AUDI A4;Avant 35 TDI Advanced S tronic 120kW;2019;Vizcaya;7.000 km;08/2019;24 meses;Azul;ECO;43.900 €;46.026 €;4.762 mm;1.847 mm;1.435 mm;2.820;495/0;2.165;Stationwagon;5;5 ;Diesel;1.968;4;Turbo;Tracción delantera;Automática secuencial;7;120;163;380;223;8,50;4,30;3,60;3,90;100;54,00;Vendedor profesional;07/11/2020
AUDI Q3;35 TFSI Advanced;2020;Barcelona;101 km;01/2020;24 meses;Gris Plata;C;32.000 €;40.948 €;4.484 mm;1.856 mm;1.616 mm;2.680;530/1.525;1.985;Todo Terreno;5;5 ;Gasolina;1.495;4;Turbo;Tracción delantera;Manual;6;110;150;250;211;9,60;6,60;4,90;6,10;132;60,00;Vendedor profesional;05/10/2020
AUDI A3;Sportback 1.5 TFSI COD EVO S Line ed. S-T 110kW;2019;Barcelona;11.464 km;07/2019;24 meses;Gris;C;25.000 €;34.976 €;4.313 mm;1.785 mm;1.426 mm;2.637;380/1.220;1.800;Berlina;5;5 ;Gasolina;1.498;4;Turbo;Tracción delantera;Automática secuencial;7;110;150;250;220;8,20;6,20;4,30;5,00;114;50,00;Vendedor profesional;05/11/2020
AUDI A3;35 TFSI Black line S tronic;2019;Córdoba;22.128 km;03/2019;No;Gris / Plata;ECO;25.000 €;36.652 €;4.495 mm;1.816 mm;1.425 mm;2.636;425/0;1.870;Berlina;4;5 ;Gasolina;1.498;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;110;150;250;232;8,40;6,20;4,00;4,80;112;50,00;Vendedor profesional;06/11/2020
AUDI A3;Sportback 30 g-tron Design S tronic 96kW;2019;Barcelona;8.000 km;07/2019;58 meses;Azul;ECO;26.400 €;33.651 €;4.313 mm;1.785 mm;1.427 mm;2.637;280/1.120;1.880;Berlina;5;5 ;Gasolina/gas;1.495;4;Turbo;Tracción delantera;Automática secuencial;7;96;131;200;211;9,40;6,40;4,30;5,00;96;50,00;Vendedor profesional;06/11/2020
